Num,District,Park_division,Park_name,Road_address ,Parcel_address,Park_overview,Park_area,Main_facility,Sporting_goods,Guidemap,Direction,Use_notes,Image,Park_number,Latitude,Longitude,Shortcut,Grade,Keyword
16,강남구,근린공원,개포근린공원,,서울특별시 강남구 개포동 139,,90063.9,,모험놀이대 등 15종,,,,,02-3423-6245,37.4830336,127.063861,,,운동
17,강남구,근린공원,달터근린공원,,서울특별시 강남구 개포동 156 외 23필지,,232078.2,,마사지롤 등 4종,,,,,02-3423-6245,37.485434,127.052354,,,운동
18,강남구,근린공원,대진근린공원,,서울특별시 강남구 개포동 13-1,,13568.4,,철봉 등 19종,,,,,02-3423-6245,37.496049,127.0788531,,,운동
19,강남구,근린공원,탄천근린공원,,서울특별시 강남구 수서동 722,,10011,,온몸허리돌리기 등 13종,,,,,02-3423-6245,37.487436,127.1062803,,,운동
20,강남구,근린공원,한솔근린공원,,서울특별시 강남구 일원동 732,,12878.4,,철봉 3구 등 7종,,,,,02-3423-6245,37.480936,127.069411,,,운동
21,강남구,근린공원,학동근린공원,,서울특별시 강남구 논현동 26,,29947,,가슴운동 등 17종,,,,,02-3423-6245,37.515548,127.0251861,,,운동
22,강남구,근린공원,삼성은행나무근린공원,,서울특별시 강남구 삼성동 14 외 1필지,,1500,,크로스컨트리 등 5종,,,,,02-3423-6245,37.516489,127.036994,,,운동
23,강남구,근린공원,도곡근린공원,,서울특별시 강남구 도곡동 산31-1 외 193필지,도곡공원은 산지형 공원으로 논현로 도곡동 길 언주로 남부순환로에 둘러싸여 있고 사방으로 산책로가 있어 접근이 용이하다. 산책로를 따라 배드민턴장 문화 전시공간 다목적운동장 휴식공간 체력단련시설들이 어우러져있어 인근 지역주민들의 건강증진 및 체력단련에 많은 도움을 주고 있다. 공원 남쪽으로는 아파트 단지들이 있으며 북쪽으로는 학교와 병원 등이 위치해 있다.,254648,"배드민턴장, 약수터, 화장실, 정자, 다목적 운동장 ",크로스컨트리 등 29종,http://parks.seoul.go.kr/template/common/img/park_info/25_dokok/dokok_guide.jpg,지하철 3호선 매봉역  버스(G 지선 B 간선 R 광역 Y 순환) B 11-3 78-1 83-1 540,일반사항 공원을 깨끗하게 이용합니다. 대중교통을 이용해 주세요. 기념물 시설물 풀과 나무를 보호합니다. 야생동물보호를 위해 음식물 반입을 금지합니다. 야영 취사행위 및 불을 피우지 않습니다. 애완동물은 생태계 보전과 대중의 이용에 불편함이 없도록 출입을 자제하여 주시기 바랍니다. 음주/가무/소란행위를 하지 않습니다. 쓰레기는 되가져 가시기 바랍니다. ,http://parks.seoul.go.kr/file/info/view.do?fIdx=1937,02-3423-6245,37.4903127,127.041861,,,"운동, 산책"
24,강남구,근린공원,싸리고개근린공원,,서울특별시 강남구 도곡동 550 외 5필지,,15072.5,,다리펴기 등 24종,,,,,02-3423-6245,37.489953,127.035534,,,운동
25,강남구,근린공원,갈매기근린공원,,서울특별시 강남구 압구정동 480,,7732,,공중걷기 등 11종,,,,,02-3423-6245,37.531496,127.030123,,,운동
26,강남구,근린공원,도성근린공원,,서울특별시 강남구 역삼동 713-15 외 1필지,,1988.8,,,,,,,02-3423-6245,37.500748,127.044485,,,
27,강남구,근린공원,송운근린공원,,서울특별시 강남구 역삼동 755-9,,1175,,,,,,,02-3423-6245,37.499848,127.044636,,,
28,강남구,근린공원,언주근린공원,,서울특별시 강남구 역삼동 754-7 외 1필지,,1110.8,,체어웨이트 등 2종,,,,,02-3423-6245,37.499059,127.043268,,,운동
29,강남구,근린공원,영동근린공원,,서울특별시 강남구 역삼동 755-7,,1293.6,,,,,,,02-3423-6245,37.498122,127.046352,,,
30,강남구,근린공원,도산근린공원,서울특별시 강남구 도산대로45길 20,서울특별시 강남구 신사동 649-9,도산공원은 1973. 11. 10 망우리 공동묘지에 안장되어 있던 도산 안창호 선생의 묘소를 이장하여 부인 이혜련 여사와 함께 합장하면서 개원하게 되었다. 공원 내에는 도산 선생 기념물로 동상 어록비 비문 해설기 등이 설치되어 있으며 매년 3월 10일 이곳에서 흥사단 및 도산기념사업회 주관으로 도산 선생 추모 기념행사가 열린다.,29816.5,"도산묘소, 동상, 도산기념관, 화장실, 그늘시렁, 운동시설 ",평행봉 등 15종,,지하철 3호선 압구정 4번 출구 도보 10분 7호선 강남구청역 하차 후 버스 이용  버스(G 지선 B 간선 R 광역 Y 순환) B 567 83 21 63-1 77-1 78-1 117 239-1,일반사항 공원을 깨끗하게 이용합니다. 대중교통을 이용해 주세요. 기념물 시설물 풀과 나무를 보호합니다. 야생동물보호를 위해 음식물 반입을 금지합니다. 야영 취사행위 및 불을 피우지 않습니다. 애완동물은 생태계 보전과 대중의 이용에 불편함이 없도록 출입을 자제하여 주시기 바랍니다. 음주/가무/소란행위를 하지 않습니다. 쓰레기는 되가져 가시기 바랍니다. ,http://parks.seoul.go.kr/file/info/view.do?fIdx=1938,02-3423-6245,37.523911,127.0356032,,,운동
31,강남구,근린공원,길섶근린공원,,서울특별시 강남구 역삼동 757-1,,1580.6,,스카이워크,,,,,02-3423-6245,37.498081,127.046708,,,운동
32,강남구,근린공원,매봉근린공원,,서울특별시 강남구 도곡동 527-7,,6146.9,,런닝머신,,,,,02-3423-6245,37.492589,127.045762,,,운동
33,강남구,근린공원,봉은근린공원,,서울특별시 강남구 역삼동 754-4,,1147.7,,,,,,,02-3423-6245,37.498247,127.047136,,,
34,강남구,근린공원,배꽃근린공원,,서울특별시 강남구 삼성동 11-3,,1592.9,,싣업머신 등 4종,,,,,02-3423-6245,37.516663,127.040299,,,운동
35,강남구,근린공원,반달근린공원,,서울특별시 강남구 삼성동 7-4,,679.3,,트리플트위스트머신 등 2종,,,,,02-3423-6245,37.516239,127.04284,,,운동
36,강남구,근린공원,샘터근린공원,,서울특별시 강남구 삼성동 16-4,,1799.5,,파크레디 등 4종,,,,,02-3423-6245,37.514379,127.060169,,,운동
37,강남구,근린공원,학봉근린공원,,서울특별시 강남구 삼성동 50-3,,1343,,옆흔들기 등 3종,,,,,02-3423-6245,37.5128469,127.0519125,,,운동
38,강남구,근린공원,큰골근린공원,,서울특별시 강남구 대치동 888-3,,1688.1,,,,,,,02-3423-6245,37.4938323,127.054722,,,
39,강남구,근린공원,새뜰근린공원,,서울특별시 강남구 역삼동 765-30,,427.6,,,,,,,02-3423-6245,37.497183,127.046607,,,
40,강남구,근린공원,수서제2근린공원,,서울특별시 강남구 수서동 749 외 1필지,,44587.5,,,,,,,02-3423-6245,37.5657618,127.084338,,,
41,강남구,근린공원,수서택지개발(대모산부근),,서울특별시 강남구 일원동 732-3 외 4필지,,11588.6,,,,,,,02-3423-6245,37.4810655,127.080521,,,
42,강남구,근린공원,수서택지개발(광평부근),,서울특별시 강남구 수서동 737-1 외 11필지,,7569.1,,,,,,,02-3423-6245,37.487307,127.092754,,,
43,강남구,근린공원,세곡해오름근린공원,,서울특별시 강남구 세곡동 525-1,,10310.4,,온몸역기올리기 등 11종,,,,,02-3423-6245,37.460169,127.1034277,,,운동
44,강남구,근린공원,세곡공원,,서울특별시 강남구 세곡동 산50 외 65필지,,101513,,,,,,,02-3423-6245,37.469014,127.104715,,,
45,강남구,근린공원,돌산공원,,서울특별시 강남구 세곡동 산1 외 32필지,,98417,,,,,,,02-3423-6245,37.466707,127.111739,,,
46,강남구,근린공원,광평공원,,서울특별시 강남구 수서동 산10-1 외 59필지,서울시 유형문화재 제48호인 광평대군 묘역을 중심으로 지정된 공원으로 대모산 동북쪽에 위치하고 있으며 광평대군 묘역은 광평대군 묘소를 비롯한 태조의 아들 무안 대군 방 번의 묘소 등 그 종문의 700 여기의 묘소가 있으며 전주이씨 광평대군파종회에서 관리하고 있다.,519782,"사당, 재실, 종회당 ",,,,,http://parks.seoul.go.kr/file/info/view.do?fIdx=1946,02-3423-6245,37.485867,127.083389,,,
47,강남구,근린공원,세천근린공원,,서울특별시 강남구 세곡동 603,,18856.7,,,,,,,02-3423-6245,37.466445,127.095331,,,
48,강남구,근린공원,세명근린공원,,서울특별시 강남구 자곡동 625,,5236.8,,윗몸일으키기 등 8종,,,,,02-3423-6245,37.46931,127.0907173,,,운동
49,강남구,근린공원,숲자락근린공원,,서울특별시 강남구 자곡동 615,,38003.6,,,,,,,02-3423-6245,37.472608,127.093071,,,
50,강남구,근린공원,못골위공원,,서울특별시 강남구 자곡동 608,,24247.1,,,,,,,02-3423-6245,37.474515,127.096381,,,
51,강남구,근린공원,못골아래근린공원,,서울특별시 강남구 자곡동 607,,21560.9,,자전거 등 2종,,,,,02-3423-6245,37.47330498,127.0997276,,,운동
52,강남구,근린공원,근린공원6호,,서울특별시 강남구 자곡동 647,,19739.5,,,,,,,02-3423-6245,37.472267,127.101805,,,
53,강남구,근린공원,해찬솔근린공원,,서울특별시 강남구 자곡동 627,,12093,,풀웨이트 등 7종,,,,,02-3423-6245,37.471058,127.092804,,,운동
54,강남구,어린이공원,논현까치공원,,서울특별시 강남구 논현동 162-11,,956.7,,풀웨이트 등 3종,,,,,02-3423-6247,37.509026,127.020792,,,운동
55,강남구,어린이공원,논현목련공원,,서울특별시 강남구 논현동 137-18,,986,,허리돌리기 등 2종,,,,,02-3423-6247,37.510851,127.017942,,,운동
56,강남구,어린이공원,논현은행나무공원,,서울특별시 강남구 논현동 47-13,,1014.5,,트윈트위스트 등 3종,,,,,02-3423-6247,37.512617,127.013669,,,운동
57,강남구,어린이공원,논현개나리공원,,서울특별시 강남구 논현동 150-5,,1652.9,,허리운동기구 등4종,,,,,02-3423-6247,37.51122564,127.0300758,,,운동
58,강남구,어린이공원,논현무궁화공원,,서울특별시 강남구 논현동 205-7,,1879.7,,워킹트레이너머신 등 3종,,,,,02-3423-6247,37.506648,127.021935,,,운동
59,강남구,어린이공원,논현소나무공원,,서울특별시 강남구 논현동 239,,1819.9,,허리운동 등 4종,,,,,02-3423-6247,37.515685,127.035281,,,운동
60,강남구,어린이공원,학동공원,,서울특별시 강남구 논현동 263-23,,1498.5,,크로스워킹 등 4종,,,,,02-3423-6247,37.511646,127.0387639,,,운동
61,강남구,어린이공원,신사은행나무공원,,서울특별시 강남구 신사동 558,,1240.1,,옆파도타기 등5종,,,,,02-3423-6247,37.521114,127.021627,,,운동
62,강남구,어린이공원,신사목련공원,,서울특별시 강남구 신사동 567-37,,1001.1,,공중걷기 등 7종,,,,,02-3423-6247,37.522898,127.017064,,,운동
63,강남구,어린이공원,신사무궁화공원,,서울특별시 강남구 신사동 625-5,,1641.8,,옆회전 운동기구 등 8종,,,,,02-3423-6247,37.524131,127.0319336,,,운동
64,강남구,어린이공원,신사까치공원,,서울특별시 강남구 신사동 597,,992.9,,트위스트 등4종,,,,,02-3423-6247,37.523601,127.020466,,,운동
65,강남구,어린이공원,신사개나리공원,,서울특별시 강남구 신사동 609-2,,991.3,,마라톤운동기구 등7종,,,,,02-3423-6247,37.526208,127.027304,,,운동
66,강남구,어린이공원,압구정목련공원,,서울특별시 강남구 압구정동 466,,2027.2,,,,,,,02-3423-6247,37.53268534,127.0322088,,,
67,강남구,어린이공원,압구정은행나무공원,,서울특별시 강남구 압구정동 459,,2547.4,,오버레트풀리머신 등 8종,,,,,02-3423-6247,37.530689,127.022677,,,운동
68,강남구,어린이공원,삼성목련공원,,서울특별시 강남구 삼성동 55-1,,1641.4,,원그리기운동 등 6종,,,,,02-3423-6247,37.518515,127.045196,,,운동
69,강남구,어린이공원,삼성까치공원,,서울특별시 강남구 삼성동 85,,1462.9,,큰활차머신 등 5종,,,,,02-3423-6247,37.518324,127.051865,,,운동
70,강남구,어린이공원,청담은행나무공원,,서울특별시 강남구 청담동 94-4,,1643.8,,양다리운동 등 5종,,,,,02-3423-6247,37.525154,127.0442417,,,운동
71,강남구,어린이공원,청담목련공원,,서울특별시 강남구 청담동 51,,1642.1,,양다리운동기구 등 2종,,,,,02-3423-6247,37.522979,127.041076,,,운동
72,강남구,어린이공원,도곡까치공원,,서울특별시 강남구 도곡동 455,,1793.8,,파도타기 등 6종,,,,,02-3423-6247,37.483326,127.0451093,,,운동
73,강남구,어린이공원,도곡목련공원,,서울특별시 강남구 도곡동 415-3,,1709.2,,옆회전운동 등 4종,,,,,02-3423-6247,37.484915,127.0443691,,,운동
74,강남구,어린이공원,역삼장미공원,,서울특별시 강남구 역삼동 780-25,,1636.6,,하체운동기구 등 4종,,,,,02-3423-6247,37.495327,127.035846,,,운동
75,강남구,어린이공원,역삼까치공원,,서울특별시 강남구 역삼동 824-10 외1필지,,987.2,,양다리운동 등 5종,,,,,02-3423-6247,37.497225,127.021971,,,운동
76,강남구,어린이공원,역삼무궁화공원,,서울특별시 강남구 역삼동 830-23,,991.5,,양다리운동기구 등 4종,,,,,02-3423-6247,37.493835,127.032209,,,운동
77,강남구,어린이공원,역삼개나리공원,,서울특별시 강남구 역삼동 739-15,,1635,,허리운동 등 4종,,,,,02-3423-6247,37.497571,127.0362551,,,운동
78,강남구,어린이공원,역삼소나무공원,,서울특별시 강남구 역삼동 836-21,,987.3,,양다리운동 등 5종,,,,,02-3423-6247,37.490961,127.024931,,,운동
79,강남구,어린이공원,역삼은행나무공원,,서울특별시 강남구 역삼동 611,,1647.1,,양다리운동기구 등5종,,,,,02-3423-6247,37.505409,127.0311947,,,운동
80,강남구,어린이공원,대치목련공원,,서울특별시 강남구 대치동 929-10,,1649.1,,공중걷기 등 8종,,,,,02-3423-6247,37.49982553,127.0581713,,,운동
81,강남구,어린이공원,대치까치공원,,서울특별시 강남구 대치동 1014-4,,992.2,,사이드스윙 등 3종,,,,,02-3423-6247,37.496941,127.058458,,,운동
82,강남구,어린이공원,대치은행나무공원,,서울특별시 강남구 대치동 899-25,,1618.7,,어깨돌리기 등 3종,,,,,02-3423-6247,37.501649,127.0515319,,,운동
83,강남구,어린이공원,개포까치공원,,서울특별시 강남구 개포동 169-3,,1690.2,,양다리 등 7종,,,,,02-3423-6247,37.48370515,127.0608782,,,운동
84,강남구,어린이공원,개포공원,,서울특별시 강남구 개포동 190,,4793.8,,하늘걷기 등 8종,,,,,02-3423-6247,37.485235,127.067125,,,운동
85,강남구,어린이공원,개포개나리공원,,서울특별시 강남구 개포동 190,,1500.6,,크로스컨트리 등 3종,,,,,02-3423-6247,37.485235,127.067125,,,운동
86,강남구,어린이공원,개포은행나무공원,,서울특별시 강남구 개포동 1220,,1641.7,,양회전 등 4종,,,,,02-3423-6247,37.47602964,127.0492625,,,운동
87,강남구,어린이공원,개포목련공원,,서울특별시 강남구 개포동 1176,,1639.1,,어깨유연성 등 2종,,,,,02-3423-6247,37.474238,127.043675,,,운동
88,강남구,어린이공원,일원은행나무공원,,서울특별시 강남구 일원동 615-2,,1500.3,,트위스팅 등 4종,,,,,02-3423-6247,37.492002,127.068214,,,운동
89,강남구,어린이공원,일원목련공원,,서울특별시 강남구 일원동 658,,1613.8,,양회전운동 등 12종,,,,,02-3423-6247,37.491431,127.076807,,,운동
90,강남구,어린이공원,일원까치공원,,서울특별시 강남구 일원동 712-4,,1476.3,,하늘걷기 등 4종,,,,,02-3423-6247,37.4921271,127.079419,,,운동
91,강남구,어린이공원,궁마을공원,,서울특별시 강남구 수서동 465-15,,306,,옆파도타기 등 5종,,,,,02-3423-6247,37.484831,127.090647,,,운동
92,강남구,어린이공원,예지공원,,서울특별시 강남구 개포동 12-7,,1535.9,,터닝암 등 6종,,,,,02-3423-6247,37.491953,127.064406,,,운동
93,강남구,어린이공원,한마음공원,,서울특별시 강남구 개포동 12-3,,2488.1,,허리운동 등 4종,,,,,02-3423-6247,37.496013,127.067034,,,운동
94,강남구,어린이공원,일원장미공원,,서울특별시 강남구 일원동 732-4,,1500,,공중걷기 등 3종,,,,,02-3423-6247,37.480681,127.071949,,,운동
95,강남구,어린이공원,일원개나리공원,,서울특별시 강남구 일원동 730-3,,4453.6,,터닝암 등 5종,,,,,02-3423-6247,37.482993,127.067728,,,운동
96,강남구,어린이공원,일원느티나무공원,,서울특별시 강남구 일원동 730-2,,1825.7,,싸이클론 등 3종,,,,,02-3423-6247,37.483047,127.068692,,,운동
97,강남구,어린이공원,일원소나무공원,,서울특별시 강남구 일원동 718-1,,1500.6,,양회전 등 4종,,,,,02-3423-6247,37.484061,127.073013,,,운동
98,강남구,어린이공원,일원상록수공원,,서울특별시 강남구 일원동 734-1,,1500.4,,마라톤 등 8종,,,,,02-3423-6247,37.482102,127.0821315,,,운동
99,강남구,어린이공원,일원비둘기공원,,서울특별시 강남구 일원동 735-1,,1501,,사이드스윙 등 4종,,,,,02-3423-6247,37.48329666,127.086042,,,운동
100,강남구,어린이공원,일원진달래공원,,서울특별시 강남구 일원동 716-1,,1500.1,,양회전 등 3종,,,,,02-3423-6247,37.484753,127.075966,,,운동
101,강남구,어린이공원,일원새싹공원,,서울특별시 강남구 수서동 746-1,,1500.2,,스카이워킹 등 3종,,,,,02-3423-6247,37.484772,127.0891247,,,운동
102,강남구,어린이공원,수서까치공원,,서울특별시 강남구 수서동 736-1,,1500.2,,옆회전 등 6종,,,,,02-3423-6247,37.48723155,127.089183,,,운동
103,강남구,어린이공원,수서은행나무공원,,서울특별시 강남구 수서동 707-1,,1500.4,,등허리 등 6종,,,,,02-3423-6247,37.49213676,127.0997523,,,운동
104,강남구,어린이공원,수서목련공원,,서울특별시 강남구 수서동 712-1,,1418.8,,원그리기 등 6종,,,,,02-3423-6247,37.491169,127.099314,,,운동
105,강남구,어린이공원,수서개나리공원,,서울특별시 강남구 수서동 723-1,,1500.1,,역기내리기 등 2종,,,,,02-3423-6247,37.487518,127.096653,,,운동
106,강남구,어린이공원,아래반고개공원,,서울특별시 강남구 세곡동 129-13 외 필지,,863,,허리운동 등 4종,,,,,02-3423-6247,37.463874,127.098339,,,운동
107,강남구,어린이공원,윗반고개공원,,서울특별시 강남구 세곡동 99-6 외 11필지,,1250,,허리돌리기 등 3종,,,,,02-3423-6247,37.466333,127.104617,,,운동
108,강남구,어린이공원,은곡마을공원,,서울특별시 강남구 세곡동 369-3,,2686,,싸이클머신 등 6종,,,,,02-3423-6247,37.4680806,127.096174,,,운동
109,강남구,어린이공원,쟁골공원,,서울특별시 강남구 자곡동 233-2,,468,,옆파도타기 등 4종,,,,,02-3423-6247,37.4819593,127.093319,,,운동
110,강남구,어린이공원,못골공원,,서울특별시 강남구 자곡동 447-23 외 1필지,,749,,양회전 등 4종,,,,,02-3423-6247,37.473573,127.091406,,,운동
111,강남구,어린이공원,윗방죽마을공원,,서울특별시 강남구 율현동 308-29,,935,,허리돌리기 등 4종,,,,,02-3423-6247,37.470276,127.100111,,,운동
112,강남구,어린이공원,아래방죽마을공원,,서울특별시 강남구 율현동 194-1,,386,,공중걷기 등 3종,,,,,02-3423-6247,37.473276,127.1081854,,,운동
113,강남구,어린이공원,충현공원,,서울특별시 강남구 역삼동 666-2 외2필지,,2721.8,,허리돌리기 등 3종,,,,,02-3423-6247,37.50470549,127.027767,,,운동
114,강남구,어린이공원,세곡천공원,,서울특별시 강남구 세곡동 522-1,,2645.1,,마라톤운동기구 등 3종,,,,,02-3423-6247,37.462426,127.097552,,,운동
115,강남구,어린이공원,대왕공원,,서울특별시 강남구 세곡동 526-2,,2633.1,,어깨유연성 등 4종,,,,,02-3423-6247,37.474486,127.091064,,,운동
116,강남구,어린이공원,도담공원,,서울특별시 강남구 세곡동 548,,4282.7,,,,,,,02-3423-6247,37.4672983,127.0987096,,,
117,강남구,어린이공원,행복공원,,서울특별시 강남구 세곡동 546,,2483.5,,,,,,,02-3423-6247,37.4672725,127.0971949,,,
118,강남구,수변공원,세천수변공원,,서울특별시 강남구 세곡동604-1 외,,10399.2,,,,,,,02-3423-6245,37.465664,127.097181,,,
119,강남구,근린공원,물굽이근린공원,,서울특별시 강남구 세곡동 537,,3713.3,,평행봉 등 11종,,,,,02-3423-6245,37.465072,127.093755,,,운동
120,강남구,소공원,쉼표소공원,,서울특별시 강남구 세곡동 549,,1199.2,,,,,,,02-3423-6245,37.467518,127.099851,,,
121,강남구,소공원,대치청실아파트 소공원1,,서울특별시 강남구 대치동 633,,3845,,,,,,,02-3423-6245,37.494298,127.059851,,,
122,강남구,소공원,대치청실아파트 소공원2,,서울특별시 강남구 대치동 610,,610,,,,,,,02-3423-6245,37.495443,127.061029,,,
123,강남구,소공원,역삼미소공원,,서울특별시 강남구 역삼동 711-5,,576,,온몸허리돌리기 등 3종,,,,,02-3423-6245,37.50141429,127.0439785,,,운동
124,강남구,소공원,도곡햇살공원,,서울특별시 강남구 도곡동 538-4,,558.5,,온몸근육풀기 등 3종,,,,,02-3423-6245,37.495741,127.052414,,,운동
125,강남구,소공원,대치에스케이뷰1 소공원,,서울특별시 강남구 대치동 1029-2,,302,,평행봉 등 17종,,,,,02-3423-6244,37.4957964,127.059487,,,운동
126,강남구,소공원,다솜소공원,,서울특별시 강남구 역삼동 763-18,,604.1,,,,,,,02-3423-6245,37.496998,127.039348,,,
127,강남구,소공원,도곡단비소공원,,서울특별시 강남구 도곡동 539-6,,896.5,,풀웨이트 등 3종,,,,,02-3423-6245,37.493903,127.046942,,,운동
128,강남구,소공원,로덴하우스 소공원,,서울특별시 강남구 도곡동 462-9,,80,,,,,,,02-3423-6245,37.485319,127.046753,,,
129,강남구,소공원,역삼나들이소공원,,서울특별시 강남구 역삼동 716-5,,650,,롤링 웨이스트 등 3종,,,,,02-3423-6245,37.500748,127.050364,,,운동
130,강남구,소공원,아크로힐스소공원,,서울특별시 강남구 논현동 276-2,,800,,,,,,,02-3423-6245,37.509984,127.039492,,,
131,강남구,소공원,대치에스케이뷰2 소공원,,서울특별시 강남구 대치동 1029-3,,481,,,,,,,02-3423-6244,37.4960702,127.0615,,,
132,강남구,역사공원,봉은역사공원,,서울특별시 강남구 삼성동 75 외 4필지,봉은사가 위치하고 있어 불교 관련 체험행사가 풍부하며 대방광불화엄경(大方廣佛華嚴經) 수소연의 초판 秋史 金正喜가 만년에 쓴 '板殿' 현판과 선불당이 문화재로 지정되어 있는 사적공원이다.,75635.7,奉恩寺(봉은사). 도심 한가운데 있는 奉恩寺는 그 외형적 규모뿐 아니라 역사적으로 서울의 대표적인 사찰로 알려져 있다. 일제시대에는 서울과 경기 일원의 80여 사찰을 관장하던 본사였고 조선시대에는 억불정책에도 불구하고 선종의 수사찰(首寺刹)로 한국불교의 명맥을 유지하는데 결정적 공헌을 해온 곳이다. 선불당(選佛堂) 봉은사 대웅전 한단 아래 왼쪽에 자리잡고 있는 선불당은 대중을 위한 禪房으로1941년 심검당이 있던 자리에 중건된 것이다. 선불당은 계율을 일러주는 곳 혹은 선법.교법을 닦는 곳이다. 秋史 金正喜의 '板殿' 현판 (서울시 유형문화재 제76호: 1991년 5월28일 지정) 봉은사에 있는 화엄경소를 비롯한 15종 3438매의 많은 목판본을 보관하기 위하여 세워진 전각인 판전의 정면 어칸의 처마에 걸려 있는 편액이다. 이 편액은 추사 김정희(1786~1856?)의 말년 작품으로 왼쪽에 세로로 '칠십일과병중작(칠십일과병중작)'이라 쓰여진 바와 같이 그가 71세때 병중에 쓴 글씨로 유명하다. 대방광불화엄경(大方廣佛華嚴經) 수소연의 초판 (서울시 유형문화재 제84호: 1992년 12월28일 지정) 봉은사 판전에 보관되어 있는 총 15종 3438판의 목판본 중 3133판이 바로 대방광불화엄경이다. 대승불교의 대표적 경전이라 할 수 있는 이 화엄경판은 처음 중국 당나라의 실차난타와 징관이 각각 번역하고 찬한 것으로 흔히 '화엄경'으로 줄여 부른다. 주된 내용은 부처님이 성도한 깨달음의 내용을 그대로 나타내고 있는 경전으로 여러 대승불교의 경전 가운데서도 교학적.사상적으로 불교의 핵심을 가장 깊게 담고 있다는 평가를 받고 있다.,온몸근육풀기 등 4종,,지하철 2호선 삼성역 하차 7호선 청담역 하차 도보로 10분 소요,일반사항 공원을 깨끗하게 이용합니다. 대중교통을 이용해 주세요. 기념물 시설물 풀과 나무를 보호합니다. 야생동물보호를 위해 음식물 반입을 금지합니다. 야영 취사행위 및 불을 피우지 않습니다. 애완동물은 생태계 보전과 대중의 이용에 불편함이 없도록 출입을 자제하여 주시기 바랍니다. 음주/가무/소란행위를 하지 않습니다. 쓰레기는 되가져 가시기 바랍니다. ,http://parks.seoul.go.kr/file/info/view.do?fIdx=1865,02-3423-6245,37.513888,127.046723,,,운동
